,acc_train,acc_test,epsilon,batch_size,hidden_size,aux_loss_activated,EPS1,n
59,99,90,0.1,32,50,True,1e-05,200000
60,100,63,0.1,32,50,False,0.001,1000
61,99,83,0.1,32,50,False,0.001,5000
62,99,84,0.1,32,50,False,0.001,10000
63,99,88,0.1,32,50,False,0.001,100000
64,99,90,0.1,32,50,False,0.001,200000
65,100,72,0.1,32,50,False,0.01,1000
66,99,80,0.1,32,50,False,0.01,5000
67,99,83,0.1,32,50,False,0.01,10000
68,99,88,0.1,32,50,False,0.01,100000
69,99,88,0.1,32,50,False,0.01,200000
70,99,73,0.1,32,50,False,0.0001,1000
71,99,81,0.1,32,50,False,0.0001,5000
72,99,83,0.1,32,50,False,0.0001,10000
73,99,90,0.1,32,50,False,0.0001,100000
74,99,90,0.1,32,50,False,0.0001,200000
75,100,73,0.1,32,50,False,1e-05,1000
76,99,81,0.1,32,50,False,1e-05,5000
77,99,83,0.1,32,50,False,1e-05,10000
78,99,88,0.1,32,50,False,1e-05,100000
79,99,89,0.1,32,50,False,1e-05,200000
80,100,72,0.1,32,150,True,0.001,1000
81,99,83,0.1,32,150,True,0.001,5000
82,99,84,0.1,32,150,True,0.001,10000
83,99,86,0.1,32,150,True,0.001,100000
84,99,90,0.1,32,150,True,0.001,200000
85,100,69,0.1,32,150,True,0.01,1000
86,100,82,0.1,32,150,True,0.01,5000
87,99,82,0.1,32,150,True,0.01,10000
88,99,89,0.1,32,150,True,0.01,100000
89,99,90,0.1,32,150,True,0.01,200000
90,100,73,0.1,32,150,True,0.0001,1000
91,99,81,0.1,32,150,True,0.0001,5000
92,99,84,0.1,32,150,True,0.0001,10000
93,99,88,0.1,32,150,True,0.0001,100000
94,99,89,0.1,32,150,True,0.0001,200000
95,100,65,0.1,32,150,True,1e-05,1000
96,100,83,0.1,32,150,True,1e-05,5000
97,99,83,0.1,32,150,True,1e-05,10000
98,99,89,0.1,32,150,True,1e-05,100000
99,99,89,0.1,32,150,True,1e-05,200000
100,100,64,0.1,32,150,False,0.001,1000
101,100,81,0.1,32,150,False,0.001,5000
102,99,86,0.1,32,150,False,0.001,10000
103,99,87,0.1,32,150,False,0.001,100000
104,99,90,0.1,32,150,False,0.001,200000
105,100,68,0.1,32,150,False,0.01,1000
106,100,83,0.1,32,150,False,0.01,5000
107,100,83,0.1,32,150,False,0.01,10000
108,99,88,0.1,32,150,False,0.01,100000
109,99,91,0.1,32,150,False,0.01,200000
110,100,73,0.1,32,150,False,0.0001,1000
111,99,79,0.1,32,150,False,0.0001,5000
112,99,84,0.1,32,150,False,0.0001,10000
113,99,89,0.1,32,150,False,0.0001,100000
114,99,90,0.1,32,150,False,0.0001,200000
115,100,74,0.1,32,150,False,1e-05,1000
116,99,81,0.1,32,150,False,1e-05,5000
117,99,82,0.1,32,150,False,1e-05,10000
118,99,89,0.1,32,150,False,1e-05,100000
119,99,89,0.1,32,150,False,1e-05,200000
120,100,73,0.1,32,200,True,0.001,1000
121,100,81,0.1,32,200,True,0.001,5000
122,99,82,0.1,32,200,True,0.001,10000
123,99,88,0.1,32,200,True,0.001,100000
124,99,90,0.1,32,200,True,0.001,200000
125,100,66,0.1,32,200,True,0.01,1000
126,100,81,0.1,32,200,True,0.01,5000
127,99,82,0.1,32,200,True,0.01,10000
128,99,89,0.1,32,200,True,0.01,100000
129,99,89,0.1,32,200,True,0.01,200000
130,100,73,0.1,32,200,True,0.0001,1000
131,99,78,0.1,32,200,True,0.0001,5000
132,99,85,0.1,32,200,True,0.0001,10000
133,99,88,0.1,32,200,True,0.0001,100000
134,99,90,0.1,32,200,True,0.0001,200000
135,95,70,0.1,32,200,True,1e-05,1000
136,99,82,0.1,32,200,True,1e-05,5000
137,99,83,0.1,32,200,True,1e-05,10000
138,99,89,0.1,32,200,True,1e-05,100000
139,99,86,0.1,32,200,True,1e-05,200000
140,100,68,0.1,32,200,False,0.001,1000
141,99,81,0.1,32,200,False,0.001,5000
142,99,84,0.1,32,200,False,0.001,10000
143,99,89,0.1,32,200,False,0.001,100000
144,99,90,0.1,32,200,False,0.001,200000
145,100,73,0.1,32,200,False,0.01,1000
146,99,83,0.1,32,200,False,0.01,5000
147,99,83,0.1,32,200,False,0.01,10000
148,99,89,0.1,32,200,False,0.01,100000
149,99,90,0.1,32,200,False,0.01,200000
150,100,65,0.1,32,200,False,0.0001,1000
151,99,82,0.1,32,200,False,0.0001,5000
152,99,82,0.1,32,200,False,0.0001,10000
153,99,89,0.1,32,200,False,0.0001,100000
154,99,90,0.1,32,200,False,0.0001,200000
155,100,71,0.1,32,200,False,1e-05,1000
156,99,79,0.1,32,200,False,1e-05,5000
157,99,83,0.1,32,200,False,1e-05,10000
158,99,88,0.1,32,200,False,1e-05,100000
159,99,90,0.1,32,200,False,1e-05,200000
160,100,70,0.1,32,250,True,0.001,1000
161,100,81,0.1,32,250,True,0.001,5000
162,99,83,0.1,32,250,True,0.001,10000
163,99,90,0.1,32,250,True,0.001,100000
